subject_nr,count_trial,xpos,ypos,tm
1,2,-10,414,103611
1,2,-10,414,103622
1,2,-10,414,103632
1,2,-10,414,103642
1,2,-10,414,103652
1,2,-10,414,103662
1,2,-10,414,103672
1,2,-10,414,103682
1,2,-10,414,103692
1,2,-10,414,103702
1,2,-10,414,103712
1,2,-10,414,103722
1,2,-10,414,103732
1,2,-10,414,103742
1,2,-10,414,103752
1,2,-10,414,103762
1,2,-10,414,103772
1,2,-10,414,103782
1,2,-10,414,103792
1,2,-10,414,103802
1,2,-10,414,103812
1,2,-10,414,103822
1,2,-10,414,103832
1,2,-10,414,103842
1,2,-10,414,103852
1,2,-10,414,103862
1,2,-10,414,103872
1,2,-10,414,103882
1,2,-10,414,103892
1,2,-10,414,103902
1,2,-10,414,103912
1,2,-10,414,103922
1,2,-10,414,103932
1,2,-10,414,103942
1,2,-10,414,103952
1,2,-10,414,103962
1,2,-10,414,103972
1,2,-10,414,103982
1,2,-10,414,103992
1,2,-10,414,104002
1,2,-10,414,104012
1,2,-10,414,104022
1,2,-10,414,104032
1,2,-10,414,104042
1,2,-10,414,104052
1,2,-10,414,104062
1,2,-10,414,104072
1,2,-10,414,104082
1,2,-10,414,104092
1,2,-10,414,104102
1,2,-10,414,104112
1,2,-10,414,104122
1,2,-11,414,104132
1,2,-11,414,104142
1,2,-11,414,104152
1,2,-11,414,104162
1,2,-11,414,104172
1,2,-11,414,104182
1,2,-11,414,104192
1,2,-11,414,104202
1,2,-10,414,104212
1,2,-6,412,104222
1,2,5,407,104232
1,2,27,402,104242
1,2,98,361,104252
1,2,141,326,104262
1,2,181,286,104272
1,2,223,240,104282
1,2,318,78,104292
1,2,364,-9,104302
1,2,408,-97,104312
1,2,452,-184,104322
1,2,523,-287,104332
1,2,552,-323,104342
1,2,573,-361,104352
1,2,585,-381,104362
1,2,595,-400,104372
1,2,596,-402,104382
1,2,596,-403,104392
1,2,596,-403,104402
1,2,596,-403,104412
1,2,595,-404,104422
1,2,593,-405,104432
1,2,592,-405,104442
1,2,592,-405,104452
1,2,592,-405,104462
1,2,592,-406,104472
1,2,592,-407,104482
1,2,595,-409,104492
1,2,596,-409,104502
1,2,596,-409,104512
1,2,596,-410,104522
1,2,596,-412,104532
1,2,597,-412,104542
1,2,597,-413,104552
1,2,598,-415,104562
1,2,599,-417,104572
1,2,599,-417,104582
1,2,599,-417,104592
1,2,599,-417,104602
1,2,599,-417,104611
